Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,14-01-1993,tot:,05-04-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0201,001,52DP9012,193221,378361,3305,05-05-1992,05-05-1992,12-05-2016,3304,-1,3154,3054
B52D0201,001,52DP9012,193221,378361,3301,12-05-2016,12-05-2016,05-04-2018,3344,43,3204,3104


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0201,001,14-08-2003,,,,D,,,,,
B52D0201,001,28-08-2003,,,,D,,,,,
B52D0201,001,15-09-2003,210,211,3094,,,,,,
B52D0201,001,29-09-2003,210,211,3094,,,,,,
B52D0201,001,14-10-2003,210,211,3094,D,,,,,
B52D0201,001,28-10-2003,210,211,3094,D,,,,,
B52D0201,001,14-11-2003,210,211,3094,D,,,,,
B52D0201,001,28-11-2003,210,211,3094,D,,,,,
B52D0201,001,15-12-2003,200,201,3104,,,,,,
B52D0201,001,14-01-2004,109,110,3195,,,,,,
B52D0201,001,28-01-2004,110,111,3194,,,,,,
B52D0201,001,16-02-2004,98,99,3206,,,,,,
B52D0201,001,01-03-2004,112,113,3192,,,,,,
B52D0201,001,15-03-2004,102,103,3202,,,,,,
B52D0201,001,29-03-2004,114,115,3190,,,,,,
B52D0201,001,14-04-2004,115,116,3189,,,,,,
B52D0201,001,29-04-2004,125,126,3179,,,,,,
B52D0201,001,17-05-2004,125,126,3179,,,,,,
B52D0201,001,28-05-2004,158,159,3146,,,,,,
B52D0201,001,15-06-2004,180,181,3124,,,,,,
B52D0201,001,28-06-2004,198,199,3106,,,,,,
B52D0201,001,14-07-2004,195,196,3109,,,,,,
B52D0201,001,28-07-2004,140,141,3164,,,,,,
B52D0201,001,16-08-2004,190,191,3114,,,,,,
B52D0201,001,30-08-2004,160,161,3144,,,,,,
B52D0201,001,15-09-2004,192,193,3112,,,,,,
B52D0201,001,27-09-2004,165,166,3139,,,,,,
B52D0201,001,15-10-2004,178,179,3126,,,,,,
B52D0201,001,29-10-2004,172,173,3132,,,,,,
B52D0201,001,15-11-2004,143,144,3161,,,,,,
B52D0201,001,14-12-2004,110,111,3194,,,,,,
B52D0201,001,04-01-2005,94,95,3210,,,,,,
B52D0201,001,18-01-2005,100,101,3204,,,,,,
B52D0201,001,28-01-2005,88,89,3216,,,,,,
B52D0201,001,15-02-2005,60,61,3244,,,,,,
B52D0201,001,28-02-2005,95,96,3209,,,,,,
B52D0201,001,15-03-2005,86,87,3218,,,,,,
B52D0201,001,29-03-2005,92,93,3212,,,,,,
B52D0201,001,14-04-2005,112,113,3192,,,,,,
B52D0201,001,28-04-2005,100,101,3204,,,,,,
B52D0201,001,13-05-2005,117,118,3187,,,,,,
B52D0201,001,27-05-2005,152,153,3152,,,,,,
B52D0201,001,14-06-2005,182,183,3122,,,,,,
B52D0201,001,28-06-2005,210,211,3094,,,,,,
B52D0201,001,13-07-2005,200,201,3104,,,,,,
B52D0201,001,29-07-2005,,,,D,,,,,
B52D0201,001,16-08-2005,200,201,3104,D,,,,,
B52D0201,001,29-08-2005,200,201,3104,,,,,,
B52D0201,001,15-09-2005,,,,D,,,,,
B52D0201,001,30-09-2005,,,,D,,,,,
B52D0201,001,14-10-2005,,,,D,,,,,
B52D0201,001,28-10-2005,,,,D,,,,,
B52D0201,001,15-11-2005,,,,D,,,,,
B52D0201,001,30-11-2005,206,207,3098,,,,,,
B52D0201,001,12-12-2005,193,194,3111,,,,,,
B52D0201,001,13-01-2006,151,152,3153,,,,,,
B52D0201,001,30-01-2006,148,149,3156,,,,,,
B52D0201,001,14-02-2006,138,139,3166,,,,,,
B52D0201,001,02-03-2006,100,101,3204,,,,,,
B52D0201,001,14-03-2006,95,96,3209,,,,,,
B52D0201,001,27-03-2006,90,91,3214,,,,,,
B52D0201,001,18-04-2006,107,108,3197,,,,,,
B52D0201,001,02-05-2006,124,125,3180,,,,,,
B52D0201,001,16-05-2006,162,163,3142,,,,,,
B52D0201,001,30-05-2006,108,109,3196,,,,,,
B52D0201,001,14-06-2006,174,175,3130,,,,,,
B52D0201,001,29-06-2006,192,193,3112,,,,,,
B52D0201,001,17-07-2006,,,,D,,,,,
B52D0201,001,27-07-2006,,,,D,,,,,
B52D0201,001,15-08-2006,,,,D,,,,,
B52D0201,001,28-08-2006,,,,D,,,,,
B52D0201,001,15-09-2006,,,,D,,,,,
B52D0201,001,28-09-2006,,,,D,,,,,
B52D0201,001,16-10-2006,,,,D,,,,,
B52D0201,001,30-10-2006,,,,D,,,,,
B52D0201,001,15-11-2006,207,208,3097,,,,,,
B52D0201,001,28-11-2006,167,168,3137,,,,,,
B52D0201,001,14-12-2006,145,146,3159,,,,,,
B52D0201,001,03-01-2007,136,137,3168,,,,,,
B52D0201,001,15-01-2007,100,101,3204,,,,,,
B52D0201,001,29-01-2007,98,99,3206,,,,,,
B52D0201,001,15-02-2007,70,71,3234,,,,,,
B52D0201,001,01-03-2007,64,65,3240,,,,,,
B52D0201,001,14-03-2007,90,91,3214,,,,,,
B52D0201,001,28-03-2007,102,103,3202,,,,,,
B52D0201,001,17-04-2007,128,129,3176,,,,,,
B52D0201,001,01-05-2007,165,166,3139,,,,,,
B52D0201,001,15-05-2007,143,144,3161,,,,,,
