Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,14-01-1993,tot:,05-04-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0201,002,52DP9012,193221,378361,3305,05-05-1992,05-05-1992,12-05-2016,3295,-10,3025,2925
B52D0201,002,52DP9012,193221,378361,3301,12-05-2016,12-05-2016,05-04-2018,3340,39,3004,2904


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0201,002,14-01-1993,77,87,3218,,,,,,
B52D0201,002,28-01-1993,101,111,3194,,,,,,
B52D0201,002,12-02-1993,113,123,3182,,,,,,
B52D0201,002,26-02-1993,120,130,3175,,,,,,
B52D0201,002,15-03-1993,125,135,3170,,,,,,
B52D0201,002,26-03-1993,135,145,3160,,,,,,
B52D0201,002,27-04-1993,134,144,3161,,,,,,
B52D0201,002,13-05-1993,144,154,3151,,,,,,
B52D0201,002,28-05-1993,169,179,3126,,,,,,
B52D0201,002,14-06-1993,195,205,3100,,,,,,
B52D0201,002,28-06-1993,202,212,3093,,,,,,
B52D0201,002,13-07-1993,210,220,3085,,,,,,
B52D0201,002,28-07-1993,165,175,3130,,,,,,
B52D0201,002,12-08-1993,170,180,3125,,,,,,
B52D0201,002,27-08-1993,185,195,3110,,,,,,
B52D0201,002,16-09-1993,148,158,3147,,,,,,
B52D0201,002,30-09-1993,119,129,3176,,,,,,
B52D0201,002,14-10-1993,105,115,3190,,,,,,
B52D0201,002,29-10-1993,120,130,3175,,,,,,
B52D0201,002,15-11-1993,105,115,3190,,,,,,
B52D0201,002,29-11-1993,124,134,3171,,,,,,
B52D0201,002,14-12-1993,93,103,3202,,,,,,
B52D0201,002,14-01-1994,97,107,3198,,,,,,
B52D0201,002,28-01-1994,93,103,3202,,,,,,
B52D0201,002,16-02-1994,105,115,3190,,,,,,
B52D0201,002,28-02-1994,111,121,3184,,,,,,
B52D0201,002,14-03-1994,111,121,3184,,,,,,
B52D0201,002,28-03-1994,96,106,3199,,,,,,
B52D0201,002,13-04-1994,101,111,3194,,,,,,
B52D0201,002,28-04-1994,127,137,3168,,,,,,
B52D0201,002,13-05-1994,132,142,3163,,,,,,
B52D0201,002,27-05-1994,133,143,3162,,,,,,
B52D0201,002,14-09-2000,186,196,3109,,,,,,
B52D0201,002,15-09-2000,186,196,3109,,,,,,
B52D0201,002,28-09-2000,187,197,3108,,,,,,
B52D0201,002,29-09-2000,187,197,3108,,,,,,
B52D0201,002,10-10-2000,152,162,3143,,,,,,
B52D0201,002,27-10-2000,144,154,3151,,,,,,
