Jaar,Max. Temp. [C],Min. Temp. [C]
2000,14.5,6.7
2001,14.2,6.1
2002,14.7,6.2
2003,15.1,5.1
2004,14.3,5.7
2005,14.7,5.9
2006,15.1,6.6
2007,15.1,6.6
2008,14.3,6.1
2009,14.5,5.6
2010,13,4.2
2011,15.1,6.4
2012,14.2,5.7
2013,13.7,5.2
2014,15.7,7.1
2015,14.9,6.2
2016,14.9,6.2
2017,15,6.3
2018,16,6.5
2019,15.5,6.4
