Jaar,Max. Temp. [C],Min. Temp. [C]
2000,14.1,8.6
2001,14,8.1
2002,14.4,8.4
2003,14.8,7.6
2004,14.1,8
2005,14.4,8.2
2006,14.7,8.6
2007,14.7,8.9
2008,14.1,8.1
2009,14.3,7.8
2010,12.7,6.4
2011,14.7,8.2
2012,13.8,7.8
2013,13.3,7.1
2014,15.5,9.2
2015,14.7,8.3
2016,14.6,8.2
2017,14.9,8.5
2018,15,8.2
2019,15.1,8.4
