Jaar,Max. Temp. [C],Min. Temp. [C]
2000,14.2,7.1
2001,14,6.6
2002,14.4,6.8
2003,14.7,5.7
2004,14.1,6.3
2005,14.4,6.5
2006,14.8,7.1
2007,14.8,7.2
2008,14.2,6.5
2009,14.3,6.2
2010,12.7,4.8
2011,14.7,6.7
2012,13.9,6.3
2013,13.4,5.7
2014,15.4,7.6
2015,14.6,6.7
2016,14.5,6.6
2017,14.7,6.8
2018,15.5,6.8
2019,15.2,6.8
