Jaar,Max. Temp. [C],Min. Temp. [C]
2000,14.5,7.5
2001,14.1,6.8
2002,14.6,7.1
2003,15,6.1
2004,14.3,6.5
2005,14.6,6.8
2006,15,7.5
2007,15,7.5
2008,14.2,6.7
2009,14.5,6.7
2010,13,5.1
2011,15,7.2
2012,14.1,6.6
2013,13.6,5.9
2014,15.6,7.9
2015,14.8,7
2016,14.8,7
2017,15,7.1
2018,15.6,7.1
2019,15.3,7.1
