Jaar,Max. Temp. [C],Min. Temp. [C]
2000,14.4,7.2
2001,14.1,6.6
2002,14.6,6.9
2003,14.9,5.8
2004,14.2,6.2
2005,14.6,6.5
2006,15,7
2007,15,7.1
2008,14.3,6.6
2009,14.5,6.3
2010,12.9,4.9
2011,15,6.9
2012,14.1,6.3
2013,13.6,5.8
2014,15.6,7.7
2015,14.7,6.6
2016,14.7,6.5
2017,14.9,6.8
2018,15.8,7.1
2019,15.3,6.9
