Jaar,Max. Temp. [C],Min. Temp. [C]
2000,14.7,7
2001,14.4,6.3
2002,14.8,6.4
2003,15.3,5.2
2004,14.5,6
2005,14.8,6.5
2006,15.3,7
2007,15.3,7
2008,14.6,6.4
2009,14.5,6.2
2010,13,4.9
2011,15,6.7
2012,14.3,6.2
2013,13.7,5.6
2014,15.7,7.6
2015,14.9,6.5
2016,14.7,6.5
2017,14.9,6.7
2018,15.8,6.7
2019,15.4,6.7
