Vri,Datum,longitude,latitude,Waarde
1,01-01-15,5.143971938294274,52.09617426953752,55640
1,02-01-15,5.143968720023616,52.09617859117957,94155
1,04-01-15,5.143969677946689,52.09617475269983,77716
1,05-01-15,5.1439656500746835,52.096180327115164,116491
1,06-01-15,5.144008454417089,52.09617606457896,122878
1,07-01-15,5.143958960274291,52.096173680157804,126806
1,08-01-15,5.143955809635879,52.09617623532276,141350
1,09-01-15,5.143996431252966,52.09619150360484,134239
1,10-01-15,5.143973852217009,52.09615989383252,88228
1,11-01-15,5.143974919466839,52.09617762119214,74535
1,12-01-15,5.143958043045376,52.096177993528585,131431
1,13-01-15,5.143959945074747,52.09617591250533,152553
1,14-01-15,5.143964394633729,52.09617520310097,136791
1,15-01-15,5.143966425744464,52.096181436310935,149384
1,16-01-15,5.143959196298267,52.09617782662265,138099
1,17-01-15,5.143975572442071,52.096176745715695,94432
1,18-01-15,5.143963173253116,52.09617730111339,78116
1,19-01-15,5.143958771004466,52.096177757088746,129488
1,20-01-15,5.143962862012191,52.09618028251088,140950
1,21-01-15,5.143955868447801,52.09617784195538,132591
1,22-01-15,5.143964215795783,52.096177219218575,145676
1,23-01-15,5.143968490575244,52.096174873174604,134385
1,24-01-15,5.143961697156688,52.09617289083317,90586
1,25-01-15,5.143967850956298,52.09617997384507,76208
1,27-01-15,5.143954979685417,52.09617508479756,134944
1,28-01-15,5.144040201365269,52.09632612688624,8976
1,30-01-15,5.14396339225517,52.09617779252555,91292
1,31-01-15,5.144007392803674,52.096195679577285,96218
2,01-01-15,5.141764462139534,52.095618416744166,15523
2,02-01-15,5.141760352313083,52.09561634144859,27990
2,04-01-15,5.141762542222221,52.09561676333331,23645
2,05-01-15,5.141762542222221,52.09561676333331,33106
2,06-01-15,5.14176400913084,52.09561551514018,36265
2,07-01-15,5.141762542222221,52.09561676333331,35769
2,08-01-15,5.141762542222221,52.09561676333331,39757
2,09-01-15,5.141762542222221,52.09561676333331,37781
2,10-01-15,5.141762542222221,52.09561676333331,27744
2,11-01-15,5.141762542222221,52.09561676333331,23358
2,12-01-15,5.141762542222221,52.09561676333331,36637
2,13-01-15,5.141762542222221,52.09561676333331,38991
2,14-01-15,5.141762542222221,52.09561676333331,38265
2,15-01-15,5.141762542222221,52.09561676333331,41383
2,16-01-15,5.141762542222221,52.09561676333331,38690
2,17-01-15,5.141762542222221,52.09561676333331,27516
2,18-01-15,5.141764462139534,52.095618416744166,24802
2,19-01-15,5.141762542222221,52.09561676333331,36180
2,20-01-15,5.141762542222221,52.09561676333331,38522
2,21-01-15,5.141765445322429,52.09561883411214,37842
2,22-01-15,5.1417632621415095,52.095618427783016,40239
2,23-01-15,5.141762542222221,52.09561676333331,38281
2,24-01-15,5.141762542222221,52.09561676333331,26665
2,25-01-15,5.141762279976525,52.09561800840375,23561
2,27-01-15,5.141762542222221,52.09561676333331,37274
2,28-01-15,5.141757175038964,52.095619767402596,4447
2,30-01-15,5.141762542222228,52.0956167633333,26661
2,31-01-15,5.141762542222221,52.09561676333331,28777
3,01-01-15,5.138740706728811,52.09553800355935,5505
3,02-01-15,5.138999025404762,52.0955401958928,15318
3,04-01-15,5.139107915742856,52.0956381678571,11616
3,05-01-15,5.138991822874285,52.09572135542858,20909
3,06-01-15,5.139003040482352,52.09571382782352,22701
3,07-01-15,5.138993570788234,52.09553579852935,22498
3,08-01-15,5.138979384099414,52.09553139982448,22127
3,09-01-15,5.139012493619051,52.09555954321421,20484
3,10-01-15,5.139002443964706,52.09554854499992,14780
3,11-01-15,5.1387376208225755,52.09574119629029,6860
3,12-01-15,5.138978543285713,52.09572610525716,22048
3,13-01-15,5.138956487352944,52.09553952888227,20772
3,14-01-15,5.138727670301585,52.095514410952376,16000
3,15-01-15,5.138991706931033,52.09553976051715,21509
3,16-01-15,5.138995092113637,52.09554782994307,23903
3,17-01-15,5.139105163309859,52.09563915345066,15455
3,18-01-15,5.139028851227848,52.09569722955691,11248
3,19-01-15,5.138905938586209,52.09564435108382,21526
3,20-01-15,5.138996041528736,52.09554598724128,23421
3,21-01-15,5.139009154951809,52.09555122602404,23293
3,22-01-15,5.138999790622858,52.09555310719988,23779
3,23-01-15,5.138973591459772,52.09554158281598,22086
3,24-01-15,5.1389899268426955,52.09554354443809,14694
3,25-01-15,5.138996608745665,52.095545047687764,11673
3,26-01-15,5.139105163309859,52.09563915345066,20284
3,27-01-15,5.139110747956521,52.09563715369562,20316
3,28-01-15,5.1391974845,52.095606095000015,1508
3,30-01-15,5.138970162988887,52.09552958361098,19240
3,31-01-15,5.138996041528736,52.09554598724128,15716
5,01-01-15,5.132414251249997,52.09546928499996,3451
5,02-01-15,5.132414251249997,52.09546928499996,5369
5,04-01-15,5.132414251249997,52.09546928499996,3889
5,05-01-15,5.132414251249997,52.09546928499996,5467
5,06-01-15,5.132414251249997,52.09546928499996,6253
5,07-01-15,5.132414251249997,52.09546928499996,6375
5,08-01-15,5.132414251249997,52.09546928499996,6587
5,09-01-15,5.132414251249997,52.09546928499996,6906
5,10-01-15,5.132414251249997,52.09546928499996,5918
5,11-01-15,5.132414251249997,52.09546928499996,4455
5,12-01-15,5.132414251249997,52.09546928499996,5939
5,13-01-15,5.132414251249997,52.09546928499996,6331
5,14-01-15,5.132414251249997,52.09546928499996,6548
5,15-01-15,5.132414251249997,52.09546928499996,6804
5,16-01-15,5.132414251249997,52.09546928499996,7019
5,17-01-15,5.132414251249997,52.09546928499996,5797
5,18-01-15,5.132414251249997,52.09546928499996,4617
