Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,30-01-2003,tot:,05-04-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0495,001,52DP0495,192798,378240,3215,18-06-2001,18-06-2001,05-04-2018,3247,32,3145,3135


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0495,001,30-01-2003,77,45,3170,,,,,,
B52D0495,001,12-02-2003,82,50,3165,,,,,,
B52D0495,001,21-02-2003,89,57,3158,,,,,,
B52D0495,001,27-02-2003,94,62,3153,,,,,,
B52D0495,001,14-03-2003,85,53,3162,,,,,,
B52D0495,001,28-03-2003,96,64,3151,,,,,,
B52D0495,001,16-04-2003,101,69,3146,,,,,,
B52D0495,001,28-04-2003,104,72,3143,,,,,,
B52D0495,001,14-05-2003,104,72,3143,,,,,,
B52D0495,001,28-05-2003,98,66,3149,,,,,,
B52D0495,001,16-06-2003,114,82,3133,,,,,,
B52D0495,001,30-06-2003,130,98,3117,,,,,,
B52D0495,001,15-07-2003,139,107,3108,,,,,,
B52D0495,001,28-07-2003,154,122,3093,,,,,,
B52D0495,001,14-08-2003,170,138,3077,,,,,,
B52D0495,001,28-08-2003,173,141,3074,,,,,,
B52D0495,001,15-09-2003,170,138,3077,,,,,,
B52D0495,001,30-09-2003,170,138,3077,,,,,,
B52D0495,001,14-10-2003,151,119,3096,,,,,,
B52D0495,001,17-11-2003,140,108,3107,,,,,,
B52D0495,001,01-12-2003,134,102,3113,,,,,,
B52D0495,001,15-12-2003,117,85,3130,,,,,,
B52D0495,001,14-01-2004,94,62,3153,,,,,,
B52D0495,001,28-01-2004,89,57,3158,,,,,,
B52D0495,001,16-02-2004,84,52,3163,,,,,,
B52D0495,001,02-03-2004,91,59,3156,,,,,,
B52D0495,001,16-03-2004,92,60,3155,,,,,,
B52D0495,001,30-03-2004,96,64,3151,,,,,,
B52D0495,001,15-04-2004,94,62,3153,,,,,,
B52D0495,001,28-04-2004,97,65,3150,,,,,,
B52D0495,001,18-05-2004,100,68,3147,,,,,,
B52D0495,001,02-06-2004,115,83,3132,,,,,,
B52D0495,001,14-06-2004,120,88,3127,,,,,,
B52D0495,001,29-06-2004,130,98,3117,,,,,,
B52D0495,001,12-07-2004,128,96,3119,,,,,,
B52D0495,001,28-07-2004,98,66,3149,,,,,,
B52D0495,001,17-08-2004,120,88,3127,,,,,,
B52D0495,001,31-08-2004,108,76,3139,,,,,,
B52D0495,001,27-09-2004,108,76,3139,,,,,,
B52D0495,001,19-10-2004,120,88,3127,,,,,,
B52D0495,001,01-11-2004,112,80,3135,,,,,,
B52D0495,001,17-11-2004,102,70,3145,,,,,,
B52D0495,001,14-12-2004,90,58,3157,,,,,,
B52D0495,001,07-01-2005,85,53,3162,,,,,,
B52D0495,001,19-01-2005,90,58,3157,,,,,,
B52D0495,001,31-01-2005,88,56,3159,,,,,,
B52D0495,001,15-02-2005,75,43,3172,,,,,,
B52D0495,001,01-03-2005,88,56,3159,,,,,,
B52D0495,001,15-03-2005,86,54,3161,,,,,,
B52D0495,001,30-03-2005,94,62,3153,,,,,,
B52D0495,001,15-04-2005,100,68,3147,,,,,,
B52D0495,001,28-04-2005,102,70,3145,,,,,,
B52D0495,001,13-05-2005,100,68,3147,,,,,,
B52D0495,001,27-05-2005,110,78,3137,,,,,,
B52D0495,001,15-06-2005,120,88,3127,,,,,,
B52D0495,001,28-06-2005,142,110,3105,,,,,,
B52D0495,001,13-07-2005,138,106,3109,,,,,,
B52D0495,001,29-07-2005,150,118,3097,,,,,,
B52D0495,001,16-08-2005,150,118,3097,,,,,,
B52D0495,001,26-08-2005,150,118,3097,,,,,,
B52D0495,001,15-09-2005,160,128,3087,,,,,,
B52D0495,001,03-10-2005,156,124,3091,,,,,,
B52D0495,001,14-10-2005,166,134,3081,,,,,,
B52D0495,001,28-10-2005,154,122,3093,,,,,,
B52D0495,001,15-11-2005,148,116,3099,,,,,,
B52D0495,001,30-11-2005,131,99,3116,,,,,,
B52D0495,001,12-12-2005,122,90,3125,,,,,,
B52D0495,001,13-01-2006,110,78,3137,,,,,,
B52D0495,001,30-01-2006,110,78,3137,,,,,,
B52D0495,001,14-02-2006,111,79,3136,,,,,,
B52D0495,001,02-03-2006,92,60,3155,,,,,,
B52D0495,001,14-03-2006,88,56,3159,,,,,,
B52D0495,001,28-03-2006,91,59,3156,,,,,,
B52D0495,001,18-04-2006,91,59,3156,,,,,,
B52D0495,001,02-05-2006,96,64,3151,,,,,,
B52D0495,001,16-05-2006,103,71,3144,,,,,,
B52D0495,001,30-05-2006,94,62,3153,,,,,,
B52D0495,001,14-06-2006,112,80,3135,,,,,,
B52D0495,001,29-06-2006,122,90,3125,,,,,,
B52D0495,001,17-07-2006,145,113,3102,,,,,,
B52D0495,001,27-07-2006,157,125,3090,,,,,,
B52D0495,001,15-08-2006,165,133,3082,,,,,,
B52D0495,001,28-08-2006,152,120,3095,,,,,,
B52D0495,001,15-09-2006,149,117,3098,,,,,,
B52D0495,001,28-09-2006,158,126,3089,,,,,,
B52D0495,001,16-10-2006,150,118,3097,,,,,,
B52D0495,001,30-10-2006,147,115,3100,,,,,,
B52D0495,001,15-11-2006,152,120,3095,,,,,,
B52D0495,001,28-11-2006,116,84,3131,,,,,,
B52D0495,001,14-12-2006,107,75,3140,,,,,,
B52D0495,001,03-01-2007,102,70,3145,,,,,,
B52D0495,001,15-01-2007,92,60,3155,,,,,,
B52D0495,001,29-01-2007,86,54,3161,,,,,,
B52D0495,001,15-02-2007,80,48,3167,,,,,,
B52D0495,001,01-03-2007,80,48,3167,,,,,,
B52D0495,001,16-03-2007,82,50,3165,,,,,,
B52D0495,001,28-03-2007,86,54,3161,,,,,,
B52D0495,001,17-04-2007,100,68,3147,,,,,,
B52D0495,001,28-04-2007,114,82,3133,,,,,,
B52D0495,001,15-05-2007,108,76,3139,,,,,,
B52D0495,001,29-05-2007,104,72,3143,,,,,,
B52D0495,001,13-06-2007,116,84,3131,,,,,,
B52D0495,001,28-06-2007,122,90,3125,,,,,,
B52D0495,001,17-07-2007,110,78,3137,,,,,,
B52D0495,001,30-07-2007,102,70,3145,,,,,,
B52D0495,001,13-08-2007,100,68,3147,,,,,,
B52D0495,001,29-08-2007,102,70,3145,,,,,,
B52D0495,001,14-09-2007,117,85,3130,,,,,,
B52D0495,001,27-09-2007,124,92,3123,,,,,,
B52D0495,001,18-10-2007,121,89,3126,,,,,,
B52D0495,001,29-10-2007,125,93,3122,,,,,,
B52D0495,001,13-11-2007,96,64,3151,,,,,,
B52D0495,001,28-11-2007,99,67,3148,,,,,,
B52D0495,001,17-12-2007,86,54,3161,,,,,,
B52D0495,001,03-01-2008,96,64,3151,,,,,,
B52D0495,001,16-01-2008,88,56,3159,,,,,,
B52D0495,001,29-01-2008,85,53,3162,,,,,,
B52D0495,001,14-02-2008,83,51,3164,,,,,,
B52D0495,001,28-02-2008,90,58,3157,,,,,,
B52D0495,001,14-03-2008,91,59,3156,,,,,,
B52D0495,001,28-03-2008,83,51,3164,,,,,,
B52D0495,001,14-04-2008,86,54,3161,,,,,,
B52D0495,001,29-04-2008,93,61,3154,,,,,,
B52D0495,001,15-05-2008,102,70,3145,,,,,,
B52D0495,001,28-05-2008,102,70,3145,,,,,,
B52D0495,001,16-06-2008,110,78,3137,,,,,,
B52D0495,001,27-06-2008,124,92,3123,,,,,,
