Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,02-05-1980,tot:,30-05-2017,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0192,001,52DP7064,190715,383280,3123,02-05-1980,02-05-1980,30-05-2017,3133,10,3053,3003


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0192,001,02-05-1980,22,12,3111,,SUN-STAND,,,,
B52D0192,001,11-06-1980,47,37,3086,,SUN-STAND,,,,
B52D0192,001,03-07-1980,32,22,3101,,SUN-STAND,,,,
B52D0192,001,05-08-1980,25,15,3108,,SUN-STAND,,,,
B52D0192,001,02-09-1980,37,27,3096,,SUN-STAND,,,,
B52D0192,001,01-10-1980,40,30,3093,,SUN-STAND,,,,
B52D0192,001,05-11-1980,35,25,3098,,SUN-STAND,,,,
B52D0192,001,03-12-1980,27,17,3106,,SUN-STAND,,,,
B52D0192,001,30-12-1980,18,8,3115,,SUN-STAND,,,,
B52D0192,001,29-01-1981,17,7,3116,,SUN-STAND,,,,
B52D0192,001,04-03-1981,17,7,3116,,SUN-STAND,,,,
B52D0192,001,02-04-1981,13,3,3120,,SUN-STAND,,,,
B52D0192,001,05-05-1981,40,30,3093,,SUN-STAND,,,,
B52D0192,001,01-06-1981,36,26,3097,,SUN-STAND,,,,
B52D0192,001,01-07-1981,22,12,3111,,SUN-STAND,,,,
B52D0192,001,02-09-1981,58,48,3075,,SUN-STAND,,,,
B52D0192,001,01-10-1981,40,30,3093,,SUN-STAND,,,,
B52D0192,001,29-10-1981,15,5,3118,,SUN-STAND,,,,
B52D0192,001,01-12-1981,14,4,3119,,SUN-STAND,,,,
B52D0192,001,30-12-1981,13,3,3120,,SUN-STAND,,,,
B52D0192,001,02-02-1982,15,5,3118,,SUN-STAND,,,,
B52D0192,001,08-03-1982,15,5,3118,,SUN-STAND,,,,
B52D0192,001,06-04-1982,17,7,3116,,SUN-STAND,,,,
B52D0192,001,30-04-1982,29,19,3104,,SUN-STAND,,,,
B52D0192,001,28-05-1982,28,18,3105,,SUN-STAND,,,,
B52D0192,001,28-06-1982,20,10,3113,,SUN-STAND,,,,
B52D0192,001,01-09-1982,70,60,3063,,SUN-STAND,,,,
B52D0192,001,28-09-1982,98,88,3035,,SUN-STAND,,,,
B52D0192,001,28-10-1982,35,25,3098,,SUN-STAND,,,,
B52D0192,001,01-12-1982,31,21,3102,,SUN-STAND,,,,
B52D0192,001,07-02-1983,,,,O,SUN-STAND,,,,
B52D0192,001,01-03-1983,,,,O,SUN-STAND,,,,
B52D0192,001,01-04-1983,,,,O,SUN-STAND,,,,
B52D0192,001,27-04-1983,,,,O,SUN-STAND,,,,
B52D0192,001,30-05-1983,12,2,3121,,SUN-STAND,,,,
B52D0192,001,29-06-1983,42,32,3091,,SUN-STAND,,,,
B52D0192,001,29-08-1983,,,,D,SUN-STAND,,,,
B52D0192,001,28-09-1983,75,65,3058,,SUN-STAND,,,,
B52D0192,001,30-10-1983,80,70,3053,,SUN-STAND,,,,
B52D0192,001,30-11-1983,30,20,3103,,SUN-STAND,,,,
B52D0192,001,27-12-1983,30,20,3103,,SUN-STAND,,,,
B52D0192,001,31-01-1984,18,8,3115,,SUN-STAND,,,,
B52D0192,001,29-02-1984,22,12,3111,,SUN-STAND,,,,
B52D0192,001,30-03-1984,21,11,3112,,SUN-STAND,,,,
B52D0192,001,01-05-1984,26,16,3107,,SUN-STAND,,,,
B52D0192,001,29-05-1984,12,2,3121,,SUN-STAND,,,,
B52D0192,001,02-10-1984,15,5,3118,,SUN-STAND,,,,
B52D0192,001,02-11-1984,16,6,3117,,SUN-STAND,,,,
B52D0192,001,03-12-1984,22,12,3111,,SUN-STAND,,,,
B52D0192,001,30-01-1985,14,4,3119,,SUN-STAND,,,,
B52D0192,001,04-03-1985,16,6,3117,,SUN-STAND,,,,
B52D0192,001,02-04-1985,14,4,3119,,SUN-STAND,,,,
B52D0192,001,26-04-1985,17,7,3116,,SUN-STAND,,,,
B52D0192,001,30-05-1985,23,13,3110,,SUN-STAND,,,,
B52D0192,001,28-06-1985,13,3,3120,,SUN-STAND,,,,
B52D0192,001,29-08-1985,40,30,3093,,SUN-STAND,,,,
B52D0192,001,27-09-1985,41,31,3092,,SUN-STAND,,,,
B52D0192,001,28-10-1985,50,40,3083,,SUN-STAND,,,,
B52D0192,001,02-12-1985,21,11,3112,,SUN-STAND,,,,
B52D0192,001,28-01-1986,12,2,3121,,SUN-STAND,,,,
