Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,06-05-1980,tot:,27-05-2017,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0502,001,52DP7049,192320,382590,3139,01-05-1980,01-05-1980,19-12-1990,3143,4,3010,2995
B52D0502,001,52DP7049,192320,382590,3139,01-05-1980,19-12-1990,22-03-1993,3164,25,3019,3004
B52D0502,001,52DP7049,192320,382590,3129,22-03-1993,22-03-1993,27-05-2017,3154,25,3021,2994


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0502,001,06-05-1980,91,87,3052,,,,,,
B52D0502,001,09-06-1980,142,138,3001,,,,,,
B52D0502,001,03-07-1980,122,118,3021,,,,,,
B52D0502,001,05-08-1980,110,106,3033,,,,,,
B52D0502,001,02-09-1980,125,121,3018,,,,,,
B52D0502,001,01-10-1980,133,129,3010,,,,,,
B52D0502,001,04-11-1980,109,105,3034,,,,,,
B52D0502,001,03-12-1980,87,83,3056,,,,,,
B52D0502,001,30-12-1980,76,72,3067,,,,,,
B52D0502,001,05-02-1981,68,64,3075,,,,,,
B52D0502,001,04-03-1981,77,73,3066,,,,,,
B52D0502,001,02-04-1981,64,60,3079,,,,,,
B52D0502,001,05-05-1981,88,84,3055,,,,,,
B52D0502,001,29-05-1981,93,89,3050,,,,,,
B52D0502,001,30-06-1981,76,72,3067,,,,,,
B52D0502,001,07-09-1981,143,139,3000,,,,,,
B52D0502,001,01-10-1981,124,120,3019,,,,,,
B52D0502,001,02-11-1981,69,65,3074,,,,,,
B52D0502,001,26-11-1981,67,63,3076,,,,,,
B52D0502,001,05-01-1982,69,65,3074,,,,,,
B52D0502,001,02-02-1982,70,66,3073,,,,,,
B52D0502,001,02-03-1982,83,79,3060,,,,,,
B52D0502,001,06-04-1982,85,81,3058,,,,,,
B52D0502,001,27-04-1982,100,96,3043,,,,,,
B52D0502,001,02-06-1982,104,100,3039,,,,,,
B52D0502,001,29-06-1982,95,91,3048,,,,,,
B52D0502,001,01-09-1982,,,,D,,,,,
