Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
B52D0192,002,28-10-1985,155,134,2989,,SUN-STAND,,,,
B52D0192,002,02-12-1985,117,96,3027,,SUN-STAND,,,,
B52D0192,002,28-01-1986,82,61,3062,,SUN-STAND,,,,
B52D0192,002,01-03-1986,,,,Y,SUN-STAND,,,,
B52D0192,002,26-03-1986,97,76,3047,,SUN-STAND,,,,
B52D0192,002,29-05-1986,109,88,3035,,SUN-STAND,,,,
B52D0192,002,26-06-1986,135,114,3009,,SUN-STAND,,,,
B52D0192,002,28-10-1986,133,112,3011,,SUN-STAND,,,,
B52D0192,002,27-11-1986,116,95,3028,,SUN-STAND,,,,
B52D0192,002,28-01-1987,105,84,3039,,SUN-STAND,,,,
B52D0192,002,30-03-1987,90,69,3054,,SUN-STAND,,,,
B52D0192,002,28-04-1987,116,95,3028,,SUN-STAND,,,,
B52D0192,002,26-05-1987,125,104,3019,,SUN-STAND,,,,
B52D0192,002,29-06-1987,103,82,3041,,SUN-STAND,,,,
B52D0192,002,27-08-1987,125,104,3019,,SUN-STAND,,,,
B52D0192,002,29-09-1987,135,114,3009,,SUN-STAND,,,,
B52D0192,002,28-10-1987,113,92,3031,,SUN-STAND,,,,
B52D0192,002,27-11-1987,90,69,3054,,SUN-STAND,,,,
B52D0192,002,26-02-1988,93,72,3051,,SUN-STAND,,,,
B52D0192,002,29-04-1988,115,94,3029,,SUN-STAND,,,,
B52D0192,002,26-05-1988,138,117,3006,,SUN-STAND,,,,
B52D0192,002,26-08-1988,139,118,3005,,SUN-STAND,,,,
B52D0192,002,29-09-1988,129,108,3015,,SUN-STAND,,,,
B52D0192,002,27-10-1988,114,93,3030,,SUN-STAND,,,,
B52D0192,002,27-12-1988,99,78,3045,,SUN-STAND,,,,
B52D0192,002,30-01-1989,108,87,3036,,SUN-STAND,,,,
B52D0192,002,28-02-1989,99,78,3045,,SUN-STAND,,,,
B52D0192,002,29-03-1989,96,75,3048,,SUN-STAND,,,,
B52D0192,002,25-04-1989,96,75,3048,,SUN-STAND,,,,
B52D0192,002,29-05-1989,137,116,3007,,SUN-STAND,,,,
B52D0192,002,26-07-1989,188,167,2956,,SUN-STAND,,,,
B52D0192,002,25-09-1989,199,178,2945,,SUN-STAND,,,,
B52D0192,002,27-10-1989,189,168,2955,,SUN-STAND,,,,
B52D0192,002,29-11-1989,185,164,2959,,SUN-STAND,,,,
B52D0192,002,27-12-1989,132,111,3012,,SUN-STAND,,,,
B52D0192,002,30-01-1990,113,92,3031,,SUN-STAND,,,,
B52D0192,002,27-02-1990,98,77,3046,,SUN-STAND,,,,
B52D0192,002,28-03-1990,114,93,3030,,SUN-STAND,,,,
B52D0192,002,01-05-1990,128,107,3016,,SUN-STAND,,,,
B52D0192,002,29-05-1990,148,127,2996,,SUN-STAND,,,,
B52D0192,002,29-06-1990,160,139,2984,,SUN-STAND,,,,
B52D0192,002,30-07-1990,188,167,2956,,SUN-STAND,,,,
B52D0192,002,29-08-1990,212,191,2932,,SUN-STAND,,,,
B52D0192,002,01-10-1990,204,183,2940,,SUN-STAND,,,,
B52D0192,002,29-10-1990,201,180,2943,,SUN-STAND,,,,
B52D0192,002,28-11-1990,166,145,2978,,SUN-STAND,,,,
B52D0192,002,28-12-1990,137,116,3007,,SUN-STAND,,,,
B52D0192,002,28-01-1991,116,95,3028,,SUN-STAND,,,,
B52D0192,002,28-02-1991,119,98,3025,,SUN-STAND,,,,
B52D0192,002,27-03-1991,126,105,3018,,SUN-STAND,,,,
B52D0192,002,29-04-1991,140,119,3004,,SUN-STAND,,,,
B52D0192,002,30-05-1991,155,134,2989,,SUN-STAND,,,,
B52D0192,002,27-06-1991,164,143,2980,,SUN-STAND,,,,
B52D0192,002,29-07-1991,182,161,2962,,SUN-STAND,,,,
B52D0192,002,26-08-1991,193,172,2951,,SUN-STAND,,,,
B52D0192,002,30-09-1991,209,188,2935,,SUN-STAND,,,,
B52D0192,002,31-10-1991,208,187,2936,,SUN-STAND,,,,
B52D0192,002,30-12-1991,112,91,3032,,SUN-STAND,,,,
B52D0192,002,28-01-1992,122,101,3022,,SUN-STAND,,,,
B52D0192,002,03-03-1992,120,99,3024,,SUN-STAND,,,,
B52D0192,002,26-03-1992,98,77,3046,,SUN-STAND,,,,
B52D0192,002,29-04-1992,107,86,3037,,SUN-STAND,,,,
B52D0192,002,27-05-1992,133,112,3011,,SUN-STAND,,,,
B52D0192,002,29-06-1992,163,142,2981,,SUN-STAND,,,,
B52D0192,002,28-07-1992,182,161,2962,,SUN-STAND,,,,
B52D0192,002,28-08-1992,182,161,2962,,SUN-STAND,,,,
B52D0192,002,28-09-1992,156,135,2988,,SUN-STAND,,,,
B52D0192,002,28-10-1992,145,124,2999,,SUN-STAND,,,,
B52D0192,002,26-11-1992,97,76,3047,,SUN-STAND,,,,
B52D0192,002,28-12-1992,103,82,3041,,SUN-STAND,,,,
B52D0192,002,28-01-1993,94,73,3050,,SUN-STAND,,,,
B52D0192,002,01-03-1993,102,81,3042,,SUN-STAND,,,,
B52D0192,002,29-03-1993,120,99,3024,,SUN-STAND,,,,
B52D0192,002,27-04-1993,127,106,3017,,SUN-STAND,,,,
B52D0192,002,28-05-1993,142,121,3002,,SUN-STAND,,,,
B52D0192,002,28-06-1993,169,148,2975,,SUN-STAND,,,,
B52D0192,002,28-07-1993,164,143,2980,,SUN-STAND,,,,
B52D0192,002,31-08-1993,168,147,2976,,SUN-STAND,,,,
B52D0192,002,28-09-1993,113,92,3031,,SUN-STAND,,,,
B52D0192,002,29-10-1993,105,84,3039,,SUN-STAND,,,,
B52D0192,002,29-11-1993,110,89,3034,,SUN-STAND,,,,
B52D0192,002,28-01-1994,84,63,3060,,SUN-STAND,,,,
B52D0192,002,01-03-1994,105,84,3039,,SUN-STAND,,,,
B52D0192,002,29-03-1994,85,64,3059,,SUN-STAND,,,,
B52D0192,002,29-04-1994,109,88,3035,,SUN-STAND,,,,
B52D0192,002,30-05-1994,114,93,3030,,SUN-STAND,,,,
B52D0192,002,28-07-1994,188,167,2956,,SUN-STAND,,,,
B52D0192,002,29-08-1994,190,169,2954,,SUN-STAND,,,,
B52D0192,002,29-09-1994,173,152,2971,,SUN-STAND,,,,
B52D0192,002,27-10-1994,164,143,2980,,SUN-STAND,,,,
B52D0192,002,28-12-1994,98,77,3046,,SUN-STAND,,,,
B52D0192,002,30-01-1995,,,,Y,STAND GEWIJZIGD,,,,
B52D0192,002,24-02-1995,,,,Y,SUN-STAND,STAND GEWIJZIGD,,,,
B52D0192,002,28-03-1995,,,,Y,STAND GEWIJZIGD,,,,
B52D0192,002,28-04-1995,107,86,3037,,SUN-STAND,,,,
B52D0192,002,29-05-1995,121,100,3023,,SUN-STAND,,,,
B52D0192,002,15-09-2000,147,126,2997,,,,,,
B52D0192,002,29-09-2000,149,128,2995,,,,,,
B52D0192,002,27-10-2000,122,101,3022,,,,,,
B52D0192,002,14-11-2000,106,85,3038,,,,,,
B52D0192,002,28-11-2000,94,73,3050,,,,,,
B52D0192,002,14-12-2000,91,70,3053,,,,,,
B52D0192,002,03-01-2001,93,72,3051,,,,,,
B52D0192,002,16-01-2001,93,72,3051,,,,,,
B52D0192,002,29-01-2001,88,67,3056,,,,,,
B52D0192,002,14-02-2001,86,65,3058,,,,,,
B52D0192,002,28-02-2001,86,65,3058,,,,,,
B52D0192,002,15-03-2001,90,69,3054,,,,,,
B52D0192,002,11-04-2001,89,68,3055,,,,,,
B52D0192,002,26-04-2001,87,66,3057,,,,,,
B52D0192,002,16-05-2001,108,87,3036,,,,,,
B52D0192,002,29-05-2001,125,104,3019,,,,,,
B52D0192,002,15-06-2001,138,117,3006,,,,,,
B52D0192,002,29-06-2001,154,133,2990,,,,,,
B52D0192,002,13-07-2001,165,144,2979,,,,,,
B52D0192,002,26-07-2001,169,148,2975,,,,,,
B52D0192,002,14-08-2001,174,153,2970,,,,,,
B52D0192,002,28-08-2001,177,156,2967,,,,,,
B52D0192,002,17-09-2001,153,132,2991,,,,,,
B52D0192,002,27-09-2001,122,101,3022,,,,,,
B52D0192,002,16-10-2001,131,110,3013,,,,,,
B52D0192,002,30-10-2001,130,109,3014,,,,,,
B52D0192,002,14-12-2001,107,86,3037,,,,,,
B52D0192,002,30-01-2002,81,60,3063,,,,,,
B52D0192,002,16-04-2003,117,96,3027,,,,,,
B52D0192,002,28-04-2003,115,94,3029,,,,,,
B52D0192,002,14-05-2003,122,101,3022,,,,,,
B52D0192,002,28-05-2003,104,83,3040,,,,,,
B52D0192,002,16-06-2003,129,108,3015,,,,,,
B52D0192,002,30-06-2003,150,129,2994,,,,,,
B52D0192,002,15-07-2003,159,138,2985,,,,,,
B52D0192,002,28-07-2003,182,161,2962,,,,,,
B52D0192,002,14-08-2003,210,189,2934,,,,,,
B52D0192,002,28-08-2003,212,191,2932,,,,,,
B52D0192,002,15-09-2003,205,184,2939,,,,,,
B52D0192,002,30-09-2003,210,189,2934,,,,,,
B52D0192,002,14-10-2003,186,165,2958,,,,,,
B52D0192,002,17-11-2003,171,150,2973,,,,,,
B52D0192,002,01-12-2003,163,142,2981,,,,,,
B52D0192,002,15-12-2003,147,126,2997,,,,,,
B52D0192,002,14-01-2004,106,85,3038,,,,,,
B52D0192,002,28-01-2004,101,80,3043,,,,,,
B52D0192,002,16-02-2004,95,74,3049,,,,,,
B52D0192,002,02-03-2004,106,85,3038,,,,,,
B52D0192,002,30-03-2004,102,81,3042,,,,,,
B52D0192,002,16-04-2004,108,87,3036,,,,,,
B52D0192,002,28-04-2004,118,97,3026,,,,,,
B52D0192,002,19-05-2004,121,100,3023,,,,,,
B52D0192,002,02-06-2004,140,119,3004,,,,,,
B52D0192,002,15-06-2004,143,122,3001,,,,,,
B52D0192,002,30-06-2004,152,131,2992,,,,,,
B52D0192,002,12-07-2004,154,133,2990,,,,,,
B52D0192,002,28-07-2004,112,91,3032,,,,,,
B52D0192,002,17-08-2004,150,129,2994,,,,,,
B52D0192,002,31-08-2004,149,128,2995,,,,,,
B52D0192,002,15-09-2004,170,149,2974,,,,,,
B52D0192,002,27-09-2004,142,121,3002,,,,,,
B52D0192,002,19-10-2004,150,129,2994,,,,,,
B52D0192,002,01-11-2004,142,121,3002,,,,,,
B52D0192,002,17-11-2004,130,109,3014,,,,,,
B52D0192,002,14-12-2004,110,89,3034,,,,,,
B52D0192,002,07-01-2005,97,76,3047,,,,,,
B52D0192,002,19-01-2005,96,75,3048,,,,,,
B52D0192,002,31-01-2005,93,72,3051,,,,,,
B52D0192,002,15-02-2005,80,59,3064,,,,,,
B52D0192,002,01-03-2005,,,,Y,,,,,
B52D0192,002,15-03-2005,93,72,3051,,,,,,
B52D0192,002,30-03-2005,102,81,3042,,,,,,
B52D0192,002,14-04-2005,105,84,3039,,,,,,
B52D0192,002,28-04-2005,110,89,3034,,,,,,
B52D0192,002,13-05-2005,110,89,3034,,,,,,
B52D0192,002,31-05-2005,132,111,3012,,,,,,
B52D0192,002,15-06-2005,142,121,3002,,,,,,
B52D0192,002,01-07-2005,165,144,2979,,,,,,
B52D0192,002,13-07-2005,168,147,2976,,,,,,
B52D0192,002,02-08-2005,182,161,2962,,,,,,
B52D0192,002,16-08-2005,175,154,2969,,,,,,
B52D0192,002,29-08-2005,175,154,2969,,,,,,
B52D0192,002,15-09-2005,190,169,2954,,,,,,
B52D0192,002,03-10-2005,195,174,2949,,,,,,
B52D0192,002,14-10-2005,197,176,2947,,,,,,
B52D0192,002,28-10-2005,188,167,2956,,,,,,
B52D0192,002,16-11-2005,177,156,2967,,,,,,
B52D0192,002,30-11-2005,128,107,3016,,,,,,
B52D0192,002,12-12-2005,142,121,3002,,,,,,
B52D0192,002,13-01-2006,130,109,3014,,,,,,
B52D0192,002,31-01-2006,130,109,3014,,,,,,
B52D0192,002,15-02-2006,118,97,3026,,,,,,
B52D0192,002,02-03-2006,100,79,3044,,,,,,
B52D0192,002,14-03-2006,97,76,3047,,,,,,
B52D0192,002,29-03-2006,100,79,3044,,,,,,
B52D0192,002,19-04-2006,104,83,3040,,,,,,
B52D0192,002,03-05-2006,115,94,3029,,,,,,
B52D0192,002,15-05-2006,132,111,3012,,,,,,
B52D0192,002,31-05-2006,108,87,3036,,,,,,
B52D0192,002,14-06-2006,104,83,3040,,,,,,
B52D0192,002,29-06-2006,153,132,2991,,,,,,
B52D0192,002,19-07-2006,200,179,2944,,,,,,
B52D0192,002,27-07-2006,218,197,2926,,,,,,
B52D0192,002,15-08-2006,202,181,2942,,,,,,
B52D0192,002,29-08-2006,183,162,2961,,,,,,
B52D0192,002,15-09-2006,181,160,2963,,,,,,
B52D0192,002,27-09-2006,193,172,2951,,,,,,
B52D0192,002,17-10-2006,182,161,2962,,,,,,
B52D0192,002,30-10-2006,177,156,2967,,,,,,
B52D0192,002,15-11-2006,162,141,2982,,,,,,
B52D0192,002,30-11-2006,138,117,3006,,,,,,
B52D0192,002,15-12-2006,120,99,3024,,,,,,
B52D0192,002,04-01-2007,110,89,3034,,,,,,
B52D0192,002,17-01-2007,98,77,3046,,,,,,
B52D0192,002,30-01-2007,92,71,3052,,,,,,
B52D0192,002,16-02-2007,86,65,3058,,,,,,
B52D0192,002,02-03-2007,82,61,3062,,,,,,
B52D0192,002,15-03-2007,88,67,3056,,,,,,
B52D0192,002,30-03-2007,98,77,3046,,,,,,
B52D0192,002,17-04-2007,116,95,3028,,,,,,
B52D0192,002,28-04-2007,41,20,3103,,,,,,
B52D0192,002,16-05-2007,114,93,3030,,,,,,
B52D0192,002,30-05-2007,20,-1,3124,,,,,,
B52D0192,002,14-06-2007,137,116,3007,,,,,,
B52D0192,002,28-06-2007,142,121,3002,,,,,,
B52D0192,002,18-07-2007,132,111,3012,,,,,,
B52D0192,002,31-07-2007,115,94,3029,,,,,,
B52D0192,002,13-08-2007,118,97,3026,,,,,,
B52D0192,002,30-08-2007,124,103,3020,,,,,,
B52D0192,002,14-09-2007,135,114,3009,,,,,,
B52D0192,002,27-09-2007,141,120,3003,,,,,,
B52D0192,002,19-10-2007,144,123,3000,,,,,,
B52D0192,002,30-10-2007,137,116,3007,,,,,,
B52D0192,002,14-11-2007,111,90,3033,,,,,,
B52D0192,002,29-11-2007,112,91,3032,,,,,,
B52D0192,002,17-12-2007,97,76,3047,,,,,,
B52D0192,002,03-01-2008,102,81,3042,,,,,,
B52D0192,002,16-01-2008,94,73,3050,,,,,,
B52D0192,002,29-01-2008,91,70,3053,,,,,,
B52D0192,002,14-02-2008,90,69,3054,,,,,,
B52D0192,002,27-02-2008,98,77,3046,,,,,,
B52D0192,002,17-03-2008,93,72,3051,,,,,,
B52D0192,002,27-03-2008,85,64,3059,,,,,,
B52D0192,002,15-04-2008,96,75,3048,,,,,,
B52D0192,002,29-04-2008,96,75,3048,,,,,,
B52D0192,002,15-05-2008,121,100,3023,,,,,,
B52D0192,002,28-05-2008,118,97,3026,,,,,,
B52D0192,002,16-06-2008,41,20,3103,,,,,,
B52D0192,002,30-06-2008,151,130,2993,,,,,,
B52D0192,002,14-07-2008,148,127,2996,,,,,,
B52D0192,002,28-07-2008,152,131,2992,,,,,,
B52D0192,002,14-08-2008,153,132,2991,,,,,,
B52D0192,002,28-08-2008,162,141,2982,,,,,,
B52D0192,002,12-09-2008,168,147,2976,,,,,,
B52D0192,002,29-09-2008,173,152,2971,,,,,,
B52D0192,002,14-10-2008,160,139,2984,,,,,,
B52D0192,002,28-10-2008,152,131,2992,,,,,,
B52D0192,002,14-11-2008,144,123,3000,,,,,,
B52D0192,002,27-11-2008,130,109,3014,,,,,,
B52D0192,002,15-12-2008,124,103,3020,,,,,,
B52D0192,002,15-01-2009,102,81,3042,,,,,,
B52D0192,002,28-01-2009,106,85,3038,,,,,,
B52D0192,002,03-02-2009,92,71,3052,,,,,,
B52D0192,002,13-02-2009,96,75,3048,,,,,,
B52D0192,002,13-03-2009,96,75,3048,,,,,,
B52D0192,002,30-03-2009,92,71,3052,,,,,,
B52D0192,002,14-04-2009,105,84,3039,,,,,,
B52D0192,002,29-04-2009,110,89,3034,,,,,,
B52D0192,002,13-05-2009,126,105,3018,,,,,,
B52D0192,002,27-05-2009,146,125,2998,,,,,,
B52D0192,002,15-06-2009,152,131,2992,,,,,,
B52D0192,002,30-06-2009,162,141,2982,,,,,,
B52D0192,002,14-07-2009,178,157,2966,,,,,,
B52D0192,002,24-07-2009,175,154,2969,,,,,,
B52D0192,002,13-08-2009,185,164,2959,,,,,,
B52D0192,002,28-08-2009,204,183,2940,,,,,,
B52D0192,002,14-09-2009,204,183,2940,,,,,,
B52D0192,002,28-09-2009,208,187,2936,,,,,,
B52D0192,002,14-10-2009,180,159,2964,,,,,,
B52D0192,002,28-10-2009,179,158,2965,,,,,,
B52D0192,002,12-11-2009,152,131,2992,,,,,,
B52D0192,002,26-11-2009,127,106,3017,,,,,,
B52D0192,002,14-01-2010,103,82,3041,,,,,,
B52D0192,002,27-01-2010,102,81,3042,,,,,,
B52D0192,002,11-02-2010,95,74,3049,,,,,,
B52D0192,002,02-03-2010,88,67,3056,,,,,,
B52D0192,002,16-03-2010,95,74,3049,,,,,,
B52D0192,002,29-03-2010,82,61,3062,,,,,,
B52D0192,002,15-04-2010,98,77,3046,,,,,,
B52D0192,002,28-04-2010,110,89,3034,,,,,,
B52D0192,002,18-05-2010,110,89,3034,,,,,,
B52D0192,002,26-05-2010,119,98,3025,,,,,,
B52D0192,002,15-06-2010,143,122,3001,,,,,,
B52D0192,002,13-07-2010,192,171,2952,,,,,,
B52D0192,002,16-08-2010,196,175,2948,,,,,,
B52D0192,002,27-08-2010,162,141,2982,,,,,,
B52D0192,002,28-09-2010,158,137,2986,,,,,,
B52D0192,002,14-10-2010,133,112,3011,,,,,,
B52D0192,002,29-10-2010,124,103,3020,,,,,,
B52D0192,002,17-11-2010,100,79,3044,,,,,,
B52D0192,002,14-12-2010,100,79,3044,,,,,,
B52D0192,002,13-09-2012,173,152,2971,,,,,,
B52D0192,002,27-09-2012,170,149,2974,,,,,,
B52D0192,002,26-10-2012,145,124,2999,,,,,,
B52D0192,002,14-11-2012,138,117,3006,,,,,,
B52D0192,002,28-11-2012,132,111,3012,,,,,,
B52D0192,002,14-12-2012,111,90,3033,,,,,,
B52D0192,002,15-01-2013,100,79,3044,,,,,,
B52D0192,002,04-02-2013,82,61,3062,,,,,,
B52D0192,002,15-02-2013,91,70,3053,,,,,,
B52D0192,002,28-02-2013,92,71,3052,,,,,,
B52D0192,002,14-03-2013,95,74,3049,,,,,,
B52D0192,002,28-03-2013,98,77,3046,,,,,,
B52D0192,002,15-04-2013,105,84,3039,,,,,,
B52D0192,002,26-04-2013,108,87,3036,,,,,,
B52D0192,002,15-05-2013,114,93,3030,,,,,,
B52D0192,002,28-05-2013,115,94,3029,,,,,,
B52D0192,002,14-06-2013,,,,N,,,,,
B52D0192,002,26-06-2013,152,131,2992,,,,,,
B52D0192,002,15-07-2013,,,,N,,,,,
B52D0192,002,30-07-2013,178,157,2966,,,,,,
B52D0192,002,15-08-2013,192,171,2952,,,,,,
B52D0192,002,30-08-2013,191,170,2953,,,,,,
B52D0192,002,16-09-2013,166,145,2978,,,,,,
B52D0192,002,30-09-2013,127,106,3017,,,,,,
B52D0192,002,15-10-2013,159,138,2985,,,,,,
B52D0192,002,31-10-2013,145,124,2999,,,,,,
B52D0192,002,14-11-2013,116,95,3028,,,,,,
B52D0192,002,29-11-2013,121,100,3023,,,,,,
B52D0192,002,16-12-2013,120,99,3024,,,,,,
B52D0192,002,31-12-2013,98,77,3046,,,,,,
B52D0192,002,28-01-2014,95,74,3049,,,,,,
B52D0192,002,25-02-2014,99,78,3045,,,,,,
B52D0192,002,26-03-2014,111,90,3033,,,,,,
B52D0192,002,30-04-2014,132,111,3012,,,,,,
B52D0192,002,26-05-2014,125,104,3019,,,,,,
B52D0192,002,30-06-2014,158,137,2986,,,,,,
B52D0192,002,02-07-2014,,,,N,,,,,
B52D0192,002,29-07-2014,105,84,3039,,,,,,
B52D0192,002,10-08-2014,,,,N,,,,,
B52D0192,002,27-08-2014,97,76,3047,,,,,,
B52D0192,002,30-09-2014,126,105,3018,,,,,,
B52D0192,002,31-10-2014,105,84,3039,,,,,,
B52D0192,002,28-11-2014,106,85,3038,,,,,,
B52D0192,002,05-01-2015,,,,N,,,,,
B52D0192,002,30-01-2015,,,,N,,,,,
B52D0192,002,24-02-2015,,,,N,,,,,
B52D0192,002,25-03-2015,,,,N,,,,,
B52D0192,002,28-04-2015,,,,N,,,,,
B52D0192,002,27-05-2015,,,,N,,,,,
B52D0192,002,26-08-2015,155,134,2989,,,,,,
B52D0192,002,02-11-2015,138,117,3006,,,,,,
B52D0192,002,15-01-2016,10,-11,3134,,,,,,
B52D0192,002,29-01-2016,90,69,3054,,,,,,
B52D0192,002,15-02-2016,80,59,3064,,,,,,
B52D0192,002,29-02-2016,80,59,3064,,,,,,
B52D0192,002,15-03-2016,92,71,3052,,,,,,
B52D0192,002,29-03-2016,95,74,3049,,,,,,
B52D0192,002,15-04-2016,104,83,3040,,,,,,
B52D0192,002,28-04-2016,102,81,3042,,,,,,
B52D0192,002,16-05-2016,122,101,3022,,,,,,
B52D0192,002,31-05-2016,86,65,3058,,,,,,
B52D0192,002,15-06-2016,77,56,3067,,,,,,
B52D0192,002,30-06-2016,72,51,3072,,,,,,
B52D0192,002,15-07-2016,108,87,3036,,,,,,
B52D0192,002,30-07-2016,114,93,3030,,,,,,
B52D0192,002,15-08-2016,122,101,3022,,,,,,
B52D0192,002,30-08-2016,148,127,2996,,,,,,
B52D0192,002,14-09-2016,,,,N,,,,,
B52D0192,002,30-09-2016,169,148,2975,,,,,,
B52D0192,002,14-10-2016,,,,N,,,,,
B52D0192,002,31-10-2016,155,134,2989,,,,,,
B52D0192,002,14-11-2016,,,,N,,,,,
B52D0192,002,30-11-2016,117,96,3027,,,,,,
B52D0192,002,14-12-2016,,,,N,,,,,
B52D0192,002,30-12-2016,108,87,3036,,,,,,
B52D0192,002,16-01-2017,98,77,3046,,,,,,
B52D0192,002,27-01-2017,104,83,3040,,,,,,
B52D0192,002,14-02-2017,,,,N,,,,,
B52D0192,002,28-02-2017,,,,N,,,,,
B52D0192,002,14-03-2017,,,,N,,,,,
B52D0192,002,28-03-2017,,,,N,,,,,
B52D0192,002,14-04-2017,,,,N,,,,,
B52D0192,002,28-04-2017,109,88,3035,,,,,,
B52D0192,002,15-05-2017,129,108,3015,,,,,,
