Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,02-05-1980,tot:,30-05-2017,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0192,002,52DP7064,190715,383280,3123,02-05-1980,02-05-1980,30-05-2017,3144,21,2819,2804


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0192,002,02-05-1980,113,92,3031,,SUN-STAND,,,,
B52D0192,002,11-06-1980,150,129,2994,,SUN-STAND,,,,
B52D0192,002,03-07-1980,142,121,3002,,SUN-STAND,,,,
B52D0192,002,05-08-1980,110,89,3034,,SUN-STAND,,,,
B52D0192,002,02-09-1980,137,116,3007,,SUN-STAND,,,,
B52D0192,002,01-10-1980,143,122,3001,,SUN-STAND,,,,
B52D0192,002,05-11-1980,130,109,3014,,SUN-STAND,,,,
B52D0192,002,03-12-1980,116,95,3028,,SUN-STAND,,,,
B52D0192,002,30-12-1980,98,77,3046,,SUN-STAND,,,,
B52D0192,002,29-01-1981,92,71,3052,,SUN-STAND,,,,
B52D0192,002,04-03-1981,94,73,3050,,SUN-STAND,STAND GEWIJZIGD,,,,
B52D0192,002,02-04-1981,90,69,3054,,SUN-STAND,,,,
B52D0192,002,05-05-1981,115,94,3029,,SUN-STAND,,,,
B52D0192,002,01-06-1981,130,109,3014,,SUN-STAND,,,,
B52D0192,002,01-07-1981,114,93,3030,,SUN-STAND,,,,
B52D0192,002,02-09-1981,160,139,2984,,SUN-STAND,,,,
B52D0192,002,01-10-1981,150,129,2994,,SUN-STAND,,,,
B52D0192,002,29-10-1981,100,79,3044,,SUN-STAND,,,,
B52D0192,002,01-12-1981,86,65,3058,,SUN-STAND,,,,
B52D0192,002,30-12-1981,88,67,3056,,SUN-STAND,,,,
B52D0192,002,02-02-1982,90,69,3054,,SUN-STAND,,,,
B52D0192,002,08-03-1982,92,71,3052,,SUN-STAND,,,,
B52D0192,002,06-04-1982,100,79,3044,,SUN-STAND,,,,
B52D0192,002,30-04-1982,120,99,3024,,SUN-STAND,,,,
B52D0192,002,28-05-1982,125,104,3019,,SUN-STAND,,,,
B52D0192,002,28-06-1982,106,85,3038,,SUN-STAND,,,,
B52D0192,002,01-09-1982,178,157,2966,,SUN-STAND,,,,
B52D0192,002,28-09-1982,189,168,2955,,SUN-STAND,,,,
B52D0192,002,28-10-1982,146,125,2998,,SUN-STAND,,,,
B52D0192,002,01-12-1982,120,99,3024,,SUN-STAND,,,,
B52D0192,002,07-02-1983,80,59,3064,,SUN-STAND,,,,
B52D0192,002,01-03-1983,98,77,3046,,SUN-STAND,,,,
B52D0192,002,01-04-1983,74,53,3070,,SUN-STAND,,,,
B52D0192,002,27-04-1983,89,68,3055,,SUN-STAND,,,,
B52D0192,002,30-05-1983,85,64,3059,,SUN-STAND,,,,
B52D0192,002,29-06-1983,132,111,3012,,SUN-STAND,STAND HANDHAVEN,,,,
B52D0192,002,29-08-1983,190,169,2954,,SUN-STAND,STAND HANDHAVEN,,,,
B52D0192,002,28-09-1983,176,155,2968,,SUN-STAND,STAND HANDHAVEN,,,,
B52D0192,002,30-10-1983,175,154,2969,,SUN-STAND,STAND HANDHAVEN,,,,
B52D0192,002,30-11-1983,155,134,2989,,SUN-STAND,STAND HANDHAVEN,,,,
B52D0192,002,27-12-1983,130,109,3014,,SUN-STAND,STAND HANDHAVEN,,,,
B52D0192,002,31-01-1984,94,73,3050,,SUN-STAND,,,,
B52D0192,002,29-02-1984,102,81,3042,,SUN-STAND,,,,
B52D0192,002,30-03-1984,110,89,3034,,SUN-STAND,,,,
B52D0192,002,01-05-1984,121,100,3023,,SUN-STAND,,,,
B52D0192,002,29-05-1984,88,67,3056,,SUN-STAND,,,,
B52D0192,002,02-10-1984,100,79,3044,,SUN-STAND,,,,
B52D0192,002,02-11-1984,89,68,3055,,SUN-STAND,,,,
B52D0192,002,03-12-1984,94,73,3050,,SUN-STAND,,,,
B52D0192,002,30-01-1985,92,71,3052,,SUN-STAND,,,,
B52D0192,002,04-03-1985,101,80,3043,,SUN-STAND,,,,
B52D0192,002,02-04-1985,94,73,3050,,SUN-STAND,,,,
B52D0192,002,26-04-1985,101,80,3043,,SUN-STAND,,,,
B52D0192,002,30-05-1985,112,91,3032,,SUN-STAND,,,,
B52D0192,002,28-06-1985,93,72,3051,,SUN-STAND,,,,
B52D0192,002,29-08-1985,138,117,3006,,SUN-STAND,,,,
B52D0192,002,27-09-1985,143,122,3001,,SUN-STAND,,,,
