Datum,Neerslag [mm]
9 jul. 2020,6.4
10 jul. 2020,4.8
11 jul. 2020,0.6
12 jul. 2020,0
13 jul. 2020,0
14 jul. 2020,7.8
15 jul. 2020,0
16 jul. 2020,2.6
17 jul. 2020,0
18 jul. 2020,0
19 jul. 2020,3.2
20 jul. 2020,0
21 jul. 2020,0
22 jul. 2020,0
23 jul. 2020,0
24 jul. 2020,0.6
25 jul. 2020,29.4
26 jul. 2020,1.7
27 jul. 2020,0.1
28 jul. 2020,0
29 jul. 2020,0
30 jul. 2020,0
31 jul. 2020,0.2
1 aug. 2020,0.3
2 aug. 2020,0
3 aug. 2020,4.1
4 aug. 2020,0
5 aug. 2020,0
6 aug. 2020,0
7 aug. 2020,0
8 aug. 2020,0
9 aug. 2020,0
10 aug. 2020,0
11 aug. 2020,0
12 aug. 2020,0
13 aug. 2020,1.5
14 aug. 2020,0
15 aug. 2020,10.5
16 aug. 2020,4.7
17 aug. 2020,2.7
18 aug. 2020,1.4
19 aug. 2020,1.9
20 aug. 2020,0.7
21 aug. 2020,0
22 aug. 2020,1.5
23 aug. 2020,6.2
24 aug. 2020,5.5
25 aug. 2020,3
26 aug. 2020,4.1
27 aug. 2020,1.7
28 aug. 2020,7.3
29 aug. 2020,7.7
30 aug. 2020,1.8
31 aug. 2020,0
1 sep. 2020,0
2 sep. 2020,0
3 sep. 2020,9.5
4 sep. 2020,0.3
5 sep. 2020,4.6
6 sep. 2020,0.5
7 sep. 2020,0
8 sep. 2020,0
9 sep. 2020,0.1
10 sep. 2020,0
11 sep. 2020,0
12 sep. 2020,0
13 sep. 2020,0
14 sep. 2020,0
15 sep. 2020,0
16 sep. 2020,0
17 sep. 2020,0
18 sep. 2020,0
19 sep. 2020,0
20 sep. 2020,0
21 sep. 2020,0
22 sep. 2020,0
23 sep. 2020,22
24 sep. 2020,1.4
25 sep. 2020,12.9
26 sep. 2020,12
27 sep. 2020,5.4
28 sep. 2020,15.1
29 sep. 2020,3.2
30 sep. 2020,1.2
1 okt. 2020,6.7
2 okt. 2020,0.7
3 okt. 2020,7.1
4 okt. 2020,7.4
5 okt. 2020,6.9
6 okt. 2020,20.9
7 okt. 2020,8.5
8 okt. 2020,10
9 okt. 2020,6.6
10 okt. 2020,10
11 okt. 2020,9
12 okt. 2020,0
13 okt. 2020,0
14 okt. 2020,0
15 okt. 2020,0
16 okt. 2020,0
17 okt. 2020,0.9
18 okt. 2020,0.8
19 okt. 2020,0.9
20 okt. 2020,0.4
