Datum,Neerslag [mm]
17 dec. 2019,0.9
18 dec. 2019,0
19 dec. 2019,1.1
20 dec. 2019,1
21 dec. 2019,0.2
22 dec. 2019,7.8
23 dec. 2019,0.3
24 dec. 2019,9
25 dec. 2019,1.8
26 dec. 2019,0.4
27 dec. 2019,1.4
28 dec. 2019,0
29 dec. 2019,0
30 dec. 2019,0
31 dec. 2019,0
1 jan. 2020,0
2 jan. 2020,0
3 jan. 2020,4.5
4 jan. 2020,1.1
5 jan. 2020,0.1
6 jan. 2020,0.3
7 jan. 2020,0
8 jan. 2020,3.5
9 jan. 2020,6
10 jan. 2020,0.6
11 jan. 2020,0
12 jan. 2020,1.8
13 jan. 2020,0
14 jan. 2020,10
15 jan. 2020,3.5
16 jan. 2020,0
17 jan. 2020,0.7
18 jan. 2020,2.3
19 jan. 2020,0
20 jan. 2020,0
21 jan. 2020,0
22 jan. 2020,0.4
23 jan. 2020,0.4
24 jan. 2020,0
25 jan. 2020,0
26 jan. 2020,0.8
27 jan. 2020,8.4
28 jan. 2020,5.2
29 jan. 2020,0.7
30 jan. 2020,0.9
31 jan. 2020,0.1
1 feb. 2020,0.2
2 feb. 2020,7
3 feb. 2020,2.3
4 feb. 2020,6.4
5 feb. 2020,0
6 feb. 2020,0
7 feb. 2020,0
8 feb. 2020,0.9
9 feb. 2020,18.6
10 feb. 2020,2.8
11 feb. 2020,0.3
12 feb. 2020,0.1
13 feb. 2020,14.3
14 feb. 2020,0.3
15 feb. 2020,0.1
16 feb. 2020,12.6
17 feb. 2020,4.2
18 feb. 2020,5.3
19 feb. 2020,4.4
20 feb. 2020,5.7
21 feb. 2020,0
22 feb. 2020,0.9
23 feb. 2020,31.7
24 feb. 2020,10.1
25 feb. 2020,3.5
26 feb. 2020,10.4
27 feb. 2020,5
28 feb. 2020,8.1
29 feb. 2020,1.7
1 mrt. 2020,0
2 mrt. 2020,8.7
3 mrt. 2020,2.7
4 mrt. 2020,0.9
5 mrt. 2020,11.8
6 mrt. 2020,1.9
7 mrt. 2020,0
8 mrt. 2020,0.6
9 mrt. 2020,3.7
10 mrt. 2020,16.4
11 mrt. 2020,8
12 mrt. 2020,4.7
13 mrt. 2020,5.4
14 mrt. 2020,0.5
15 mrt. 2020,0
16 mrt. 2020,0
17 mrt. 2020,0
18 mrt. 2020,0
19 mrt. 2020,0
20 mrt. 2020,0
21 mrt. 2020,0
22 mrt. 2020,0
23 mrt. 2020,0
24 mrt. 2020,0
25 mrt. 2020,0
26 mrt. 2020,0
27 mrt. 2020,0
28 mrt. 2020,0
29 mrt. 2020,0
30 mrt. 2020,2
31 mrt. 2020,0
1 apr. 2020,0
2 apr. 2020,0
3 apr. 2020,0
4 apr. 2020,0
5 apr. 2020,0
