Datum,Neerslag [mm]
13 aug. 2019,13.1
14 aug. 2019,7.4
15 aug. 2019,1.7
16 aug. 2019,0.4
17 aug. 2019,15.3
18 aug. 2019,0.6
19 aug. 2019,0.9
20 aug. 2019,0.3
21 aug. 2019,0
22 aug. 2019,0
23 aug. 2019,0
24 aug. 2019,0
25 aug. 2019,0
26 aug. 2019,0
27 aug. 2019,0
28 aug. 2019,0
29 aug. 2019,0
30 aug. 2019,0
31 aug. 2019,0.2
1 sep. 2019,0.1
2 sep. 2019,3.2
3 sep. 2019,0.1
4 sep. 2019,6.7
5 sep. 2019,0.4
6 sep. 2019,0.4
7 sep. 2019,5.8
8 sep. 2019,0
9 sep. 2019,0
10 sep. 2019,0
11 sep. 2019,4.3
12 sep. 2019,1.4
13 sep. 2019,0.3
14 sep. 2019,0
15 sep. 2019,0
16 sep. 2019,1.9
17 sep. 2019,0
18 sep. 2019,0
19 sep. 2019,0
20 sep. 2019,0
21 sep. 2019,0
22 sep. 2019,9
23 sep. 2019,0.8
24 sep. 2019,5.1
25 sep. 2019,1.5
26 sep. 2019,13.7
27 sep. 2019,1.9
28 sep. 2019,2.3
29 sep. 2019,25.4
30 sep. 2019,13.9
1 okt. 2019,12
2 okt. 2019,3.2
3 okt. 2019,5.2
4 okt. 2019,17.4
5 okt. 2019,0
6 okt. 2019,15.9
7 okt. 2019,1.3
8 okt. 2019,3.8
9 okt. 2019,2.2
10 okt. 2019,1.3
11 okt. 2019,1.2
12 okt. 2019,4.1
13 okt. 2019,5.9
14 okt. 2019,3.3
15 okt. 2019,0.5
16 okt. 2019,8
17 okt. 2019,1.1
18 okt. 2019,1.6
19 okt. 2019,0.9
20 okt. 2019,0
21 okt. 2019,8.8
22 okt. 2019,0.4
23 okt. 2019,0.1
24 okt. 2019,0.9
25 okt. 2019,0
26 okt. 2019,2.4
27 okt. 2019,0.3
28 okt. 2019,0.2
29 okt. 2019,0
30 okt. 2019,0
31 okt. 2019,0
1 nov. 2019,2.3
2 nov. 2019,13.5
3 nov. 2019,9.3
4 nov. 2019,1.8
5 nov. 2019,0.6
6 nov. 2019,0
7 nov. 2019,5.6
8 nov. 2019,0
9 nov. 2019,0.3
10 nov. 2019,0
11 nov. 2019,7.1
12 nov. 2019,6.2
13 nov. 2019,8.2
14 nov. 2019,0
15 nov. 2019,0
16 nov. 2019,0
17 nov. 2019,0
18 nov. 2019,5.1
19 nov. 2019,3.4
20 nov. 2019,0
21 nov. 2019,0
22 nov. 2019,0.6
23 nov. 2019,0
24 nov. 2019,0
25 nov. 2019,0
26 nov. 2019,1.6
27 nov. 2019,10.3
28 nov. 2019,12
29 nov. 2019,0.2
30 nov. 2019,0
1 dec. 2019,0
2 dec. 2019,0.7
3 dec. 2019,0
4 dec. 2019,0
5 dec. 2019,0
6 dec. 2019,13
7 dec. 2019,0
8 dec. 2019,4.1
9 dec. 2019,5.7
10 dec. 2019,0
11 dec. 2019,2.5
12 dec. 2019,2.4
13 dec. 2019,4.5
14 dec. 2019,5.3
15 dec. 2019,2.6
16 dec. 2019,0.8
17 dec. 2019,0.5
18 dec. 2019,0
19 dec. 2019,0.2
20 dec. 2019,1.5
21 dec. 2019,0.5
22 dec. 2019,5.7
23 dec. 2019,0
24 dec. 2019,4.2
25 dec. 2019,0.6
26 dec. 2019,1.5
27 dec. 2019,0.3
28 dec. 2019,0
29 dec. 2019,0
30 dec. 2019,0
